DATE,INR_DEU
1956-5-1,6.4
1956-6-1,6.8
1956-7-1,6.8
1956-8-1,6.8
1956-9-1,7
1956-10-1,7
1956-11-1,7.2
1956-12-1,7.3
1957-1-1,7.3
1957-2-1,7.4
1957-3-1,7.5
1957-4-1,7.4
1957-5-1,7.4
1957-6-1,7.4
1957-7-1,7.5
1957-8-1,7.6
1957-9-1,7.6
1957-10-1,7.7
1957-11-1,7.7
1957-12-1,7.7
1958-1-1,7.5
1958-2-1,7.5
1958-3-1,7.4
1958-4-1,7.4
1958-5-1,7.3
1958-6-1,7.1
1958-7-1,6.7
1958-8-1,6.5
1958-9-1,6.2
1958-10-1,6
1958-11-1,5.9
1958-12-1,5.9
1959-1-1,5.8
1959-2-1,5.6
1959-3-1,5.6
1959-4-1,5.6
1959-5-1,5.7
1959-6-1,5.7
1959-7-1,5.6
1959-8-1,5.5
1959-9-1,5.8
1959-10-1,6
1959-11-1,6.1
1959-12-1,6.2
1960-1-1,6.5
1960-2-1,6.4
1960-3-1,6.4
1960-4-1,6.4
1960-5-1,6.4
1960-6-1,6.6
1960-7-1,6.7
1960-8-1,6.5
1960-9-1,6.5
1960-10-1,6.3
1960-11-1,6.2
1960-12-1,6.2
1961-1-1,6.1
1961-2-1,6
1961-3-1,5.9
1961-4-1,5.7
1961-5-1,5.6
1961-6-1,5.6
1961-7-1,5.7
1961-8-1,5.9
1961-9-1,6
1961-10-1,6
1961-11-1,6
1961-12-1,6
1962-1-1,5.9
1962-2-1,5.7
1962-3-1,5.6
1962-4-1,5.6
1962-5-1,5.8
1962-6-1,5.9
1962-7-1,5.9
1962-8-1,6
1962-9-1,6
1962-10-1,6.2
1962-11-1,6.2
1962-12-1,6.1
1963-1-1,6
1963-2-1,6
1963-3-1,6
1963-4-1,6
1963-5-1,6.1
1963-6-1,6.1
1963-7-1,6.1
1963-8-1,6.1
1963-9-1,6.1
1963-10-1,6.1
1963-11-1,6
1963-12-1,6
1964-1-1,5.9
1964-2-1,5.9
1964-3-1,6
1964-4-1,6.2
1964-5-1,6.3
1964-6-1,6.3
1964-7-1,6.3
1964-8-1,6.3
1964-9-1,6.4
1964-10-1,6.4
1964-11-1,6.4
1964-12-1,6.4
1965-1-1,6.4
1965-2-1,6.5
1965-3-1,6.5
1965-4-1,6.6
1965-5-1,6.9
1965-6-1,7.1
1965-7-1,7.2
1965-8-1,7.3
1965-9-1,7.4
1965-10-1,7.5
1965-11-1,7.5
1965-12-1,7.7
1966-1-1,7.6
1966-2-1,7.6
1966-3-1,7.7
1966-4-1,8
1966-5-1,8.2
1966-6-1,8.4
1966-7-1,8.6
1966-8-1,8.6
1966-9-1,8.5
1966-10-1,8.4
1966-11-1,8.2
1966-12-1,7.7
1967-1-1,7.5
1967-2-1,7.4
1967-3-1,7.2
1967-4-1,6.9
1967-5-1,6.9
1967-6-1,6.9
1967-7-1,6.9
1967-8-1,6.8
1967-9-1,6.7
1967-10-1,6.7
1967-11-1,6.8
1967-12-1,6.8
1968-1-1,6.7
1968-2-1,6.7
1968-3-1,6.7
1968-4-1,6.6
1968-5-1,6.4
1968-6-1,6.4
1968-7-1,6.4
1968-8-1,6.3
1968-9-1,6.3
1968-10-1,6.3
1968-11-1,6.3
1968-12-1,6.3
1969-1-1,6.3
1969-2-1,6.3
1969-3-1,6.4
1969-4-1,6.5
1969-5-1,6.5
1969-6-1,6.7
1969-7-1,6.9
1969-8-1,6.9
1969-9-1,7.2
1969-10-1,7.4
1969-11-1,7.4
1969-12-1,7.6
1970-1-1,7.6
1970-2-1,7.8
1970-3-1,8.1
1970-4-1,8.1
1970-5-1,8.4
1970-6-1,8.7
1970-7-1,8.7
1970-8-1,8.4
1970-9-1,8.5
1970-10-1,8.7
1970-11-1,8.6
1970-12-1,8.2
1971-1-1,7.7
1971-2-1,7.7
1971-3-1,7.9
1971-4-1,7.9
1971-5-1,8
1971-6-1,8.2
1971-7-1,8.3
1971-8-1,8.3
1971-9-1,8.1
1971-10-1,8
1971-11-1,7.9
1971-12-1,7.9
1972-1-1,7.6
1972-2-1,7.3
1972-3-1,7.4
1972-4-1,7.7
1972-5-1,7.8
1972-6-1,7.9
1972-7-1,8
1972-8-1,7.9
