,ACE_NWP
1990-1-31,5.7
1990-2-28,0
1990-3-31,0
1990-4-30,1.1
1990-5-31,6.7
1990-6-30,34
1990-7-31,26.4
1990-8-31,66.6
1990-9-30,61.3
1990-10-31,29.4
1990-11-30,111.6
1990-12-31,35.8
1991-1-31,0
1991-2-28,0
1991-3-31,10.3
1991-4-30,1.3
1991-5-31,39.4
1991-6-30,6.9
1991-7-31,35.9
1991-8-31,30.2
1991-9-30,99.4
1991-10-31,84.2
1991-11-30,99.3
1991-12-31,7.3
1992-1-31,8
1992-2-29,0.4
1992-3-31,0
1992-4-30,0
1992-5-31,0
1992-6-30,27.1
1992-7-31,12.2
1992-8-31,97.2
1992-9-30,74.6
1992-10-31,127.4
1992-11-30,123.2
1992-12-31,0
1993-1-31,0
1993-2-28,0
1993-3-31,4.8
1993-4-30,0
1993-5-31,0.6
1993-6-30,27
1993-7-31,17.2
1993-8-31,73.2
1993-9-30,47.9
1993-10-31,48.5
1993-11-30,15.1
1993-12-31,32.8
1994-1-31,0
1994-2-28,0
1994-3-31,0
1994-4-30,8.7
1994-5-31,10.5
1994-6-30,5.2
1994-7-31,49.3
1994-8-31,106.6
1994-9-30,105.9
1994-10-31,112.5
1994-11-30,33.9
1994-12-31,22
1995-1-31,0
1995-2-28,0
1995-3-31,0
1995-4-30,0.7
1995-5-31,0
1995-6-30,6.5
1995-7-31,22.9
1995-8-31,38
1995-9-30,76
1995-10-31,67.5
1995-11-30,38.9
1995-12-31,4.6
1996-1-31,0
1996-2-29,0
1996-3-31,0
1996-4-30,2.5
1996-5-31,29.5
1996-6-30,0
1996-7-31,83.4
1996-8-31,71.4
1996-9-30,139.3
1996-10-31,29.7
1996-11-30,47.6
1996-12-31,13
1997-1-31,2.4
1997-2-28,0
1997-3-31,0
1997-4-30,46.9
1997-5-31,10.7
1997-6-30,48.3
1997-7-31,30.3
1997-8-31,101.6
1997-9-30,106
1997-10-31,107.8
1997-11-30,50.6
1997-12-31,65.9
1998-1-31,0
1998-2-28,0
