指标ID,BDI_GLB,OECD_CHN,INR_JPN,INR_ENG,INR_HKG,INR_IDN,USD_CNY,EUR_CNY,JPY_CNY,HKD_CNY,USD_IDR,INR_USA,PMI_USA
1948-01-31,,,,,,,,,,,,,51.7
1948-02-29,,,,,,,,,,,,,50.2
1948-03-31,,,,,,,,,,,,,43.3
1948-04-30,,,,,,,,,,,,,45.4
1948-05-31,,,,,,,,,,,,,49.5
1948-06-30,,,,,,,,,,,,,53.0
1948-07-31,,,,,,,,,,,,,48.4
1948-08-31,,,,,,,,,,,,,45.1
1948-09-30,,,,,,,,,,,,,42.1
1948-10-31,,,,,,,,,,,,,47.2
1948-11-30,,,,,,,,,,,,,42.4
1948-12-31,,,,,,,,,,,,,35.0
1949-01-31,,,,,,,,,,,,,32.9
1949-02-28,,,,,,,,,,,,,31.3
1949-03-31,,,,,,,,,,,,,34.5
1949-04-30,,,,,,,,,,,,,35.5
1949-05-31,,,,,,,,,,,,,32.6
1949-06-30,,,,,,,,,,,,,31.6
1949-07-31,,,,,,,,,,,,,39.0
1949-08-31,,,,,,,,,,,,,47.0
1949-09-30,,,,,,,,,,,,,52.3
1949-10-31,,,,,,,,,,,,,51.0
1949-11-30,,,,,,,,,,,,,51.0
1949-12-31,,,,,,,,,,,,,57.3
1950-01-31,,,,,,,,,,,,,59.1
1950-02-28,,,,,,,,,,,,,60.5
1950-03-31,,,,,,,,,,,,,62.1
1950-04-30,,,,,,,,,,,,,68.1
1950-05-31,,,,,,,,,,,,,74.7
1950-06-30,,,,,,,,,,,,,76.6
1950-07-31,,,,,,,,,,,,,77.5
1950-08-31,,,,,,,,,,,,,75.8
1950-09-30,,,,,,,,,,,,,68.1
1950-10-31,,,,,,,,,,,,,59.2
1950-11-30,,,,,,,,,,,,,63.1
1950-12-31,,,,,,,,,,,,,67.1
1951-01-31,,,,,,,,,,,,,67.8
1951-02-28,,,,,,,,,,,,,69.3
1951-03-31,,,,,,,,,,,,,65.5
1951-04-30,,,,,,,,,,,,,53.5
1951-05-31,,,,,,,,,,,,,50.7
1951-06-30,,,,,,,,,,,,,45.5
1951-07-31,,,,,,,,,,,,,42.1
1951-08-31,,,,,,,,,,,,,43.6
1951-09-30,,,,,,,,,,,,,48.1
1951-10-31,,,,,,,,,,,,,49.6
1951-11-30,,,,,,,,,,,,,47.2
1951-12-31,,,,,,,,,,,,,46.5
1952-01-31,,,,,,,,,,,,,44.7
1952-02-29,,,,,,,,,,,,,41.8
1952-03-31,,,,,,,,,,,,,40.0
1952-04-30,,,,,,,,,,,,,36.7
1952-05-31,,,,,,,,,,,,,39.5
1952-06-30,,,,,,,,,,,,,43.3
1952-07-31,,,,,,,,,,,,,48.3
1952-08-31,,,,,,,,,,,,,60.4
1952-09-30,,,,,,,,,,,,,56.1
1952-10-31,,,,,,,,,,,,,56.2
1952-11-30,,,,,,,,,,,,,56.8
1952-12-31,,,,,,,,,,,,,55.8
1953-01-31,,,,,,,,,,,,,59.4
1953-02-28,,,,,,,,,,,,,55.4
1953-03-31,,,,,,,,,,,,,50.5
1953-04-30,,,,,,,,,,,,,51.1
1953-05-31,,,,,,,,,,,,,48.9
1953-06-30,,,,,,,,,,,,,48.5
1953-07-31,,,,,,,,,,,,,46.3
1953-08-31,,,,,,,,,,,,,43.5
1953-09-30,,,,,,,,,,,,,40.2
1953-10-31,,,,,,,,,,,,,37.4
1953-11-30,,,,,,,,,,,,,36.9
1953-12-31,,,,,,,,,,,,,35.6
