指标ID,PORK_CHN,VEG_CHN,FRU_CHN,IMA_NUT_CHN,IMV_NUT_CHN,IMA_FOO_CHN,IMV_FOO_CHN,IMA_SOB_CHN,IMV_SOB_CHN,RIC_P_CHN,BEP_P_CHN,IMA_VEO_CHN,IMV_VEO_CHN,VEO_P_CHN,IMA_IRO_CHN,IMV_IRO_CHN,IMP_IRO_CHN,IMV_COP_CHN,IMP_COP_CHN,IMA_COP_CHN,IMA_COA_CHN,IMV_COA_CHN,COA_I_CHN,IMA_CRO_CHN,IMV_CRO_CHN,IMV_PEP_CHN,IMA_PEP_CHN,P95_P_CHN,NAG_P_CHN,IMA_NAG_CHN,IMV_NAG_CHN,IMP_RAE_CHN,IMA_RAE_CHN,IMV_RAE_CHN,IMA_MEM_CHN,IMV_MEM_CHN,IMP_MEM_CHN,IMV_FER_CHN,IMA_FER_CHN,FER_I_GLB,IMA_INC_CHN,IMV_INC_CHN,IMP_INC_CHN,IMA_NHP_CHN,IMV_NHP_CHN
1960-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1960-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86,,,,,
1961-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1961-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,
1962-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1962-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,
1963-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1963-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,,,,,
1964-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
1964-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,,,,,
